h3_id,neighbor
892a1008bbbffff,892a1008b8fffff
892a100d643ffff,892a100d65bffff
892a1008d0fffff,892a1008d0bffff
892a100895bffff,892a100882fffff
892a100d3cbffff,892a100d237ffff
892a1008d4bffff,892a1008897ffff
892a1008917ffff,892a1008913ffff
892a10725afffff,892a10725abffff
892a10728b3ffff,892a1072887ffff
892a100d23bffff,892a100d20fffff
892a100d27bffff,892a100d24fffff
892a10088a7ffff,892a10088a3ffff
892a100d273ffff,892a100d247ffff
892a1008dafffff,892a1008dabffff
892a1008dcfffff,892a1008dcbffff
892a1008d2bffff,892a1008d77ffff
892a10721b7ffff,892a10721b3ffff
892a107289bffff,892a1072c6fffff
892a1072c17ffff,892a1072c13ffff
892a100d2dbffff,892a10725afffff
892a100d66bffff,892a10725b7ffff
892a10089cbffff,892a1008837ffff
892a100888fffff,892a100888bffff
892a1008c33ffff,892a1008c07ffff
892a100d253ffff,892a1072527ffff
892a1072c13ffff,892a1072cc7ffff
892a100d69bffff,892a100896fffff
892a1072d53ffff,892a1072c27ffff
892a10088abffff,892a1008817ffff
892a100d373ffff,892a100d347ffff
892a1072ccfffff,892a1072ccbffff
892a1008bb7ffff,892a1008bb3ffff
892a1072c0fffff,892a1072c0bffff
892a100d3cfffff,892a100d3cbffff
892a1072887ffff,892a1072883ffff
892a1008dc7ffff,892a1008dc3ffff
892a100d2bbffff,892a100d28fffff
892a100d3c7ffff,892a100d3c3ffff
892a100ab77ffff,892a100ab73ffff
892a100d693ffff,892a1008967ffff
892a100d67bffff,892a100d64fffff
892a100d653ffff,892a1008b27ffff
892a100899bffff,892a1008d6fffff
892a1072c03ffff,892a1072c1bffff
892a1008987ffff,892a1008983ffff
892a1008933ffff,892a1008907ffff
892a1008903ffff,892a100891bffff
892a10088afffff,892a10088abffff
892a1008c17ffff,892a1008c13ffff
892a1008b83ffff,892a1008b9bffff
892a100d213ffff,892a100d2c7ffff
892a1008997ffff,892a1008993ffff
892a1008c2fffff,892a1008c2bffff
892a100d21bffff,892a100d2cfffff
892a100d2c3ffff,892a100d2dbffff
892a1072dcbffff,892a1072c37ffff
892a1072ca3ffff,892a1072cbbffff
892a1072587ffff,892a1072583ffff
892a1008883ffff,892a100889bffff
892a1008827ffff,892a1008823ffff
892a100d64bffff,892a1072597ffff
892a100d31bffff,892a100d3cfffff
892a1072d5bffff,892a1072c2fffff
892a1072ddbffff,892a1072cafffff
892a1008b3bffff,892a1008b0fffff
892a100d2a3ffff,892a100d2bbffff
892a1072c3bffff,892a1072c0fffff
892a1072ccbffff,892a1072137ffff
892a1008c3bffff,892a1008c0fffff
892a1008d3bffff,892a1008d0fffff
892a1072c27ffff,892a1072c23ffff
892a1072597ffff,892a1072593ffff
892a100d6c3ffff,892a100d6dbffff
892a100d347ffff,892a100d343ffff
892a100d283ffff,892a100d29bffff
892a10089dbffff,892a10088afffff
892a100d293ffff,892a100d667ffff
892a100894fffff,892a100894bffff
892a1072523ffff,892a107253bffff
892a1008cb3ffff,892a1008c87ffff
892a1008b23ffff,892a1008b3bffff
892a1072dcfffff,892a1072dcbffff
892a1008b87ffff,892a1008b83ffff
