component,singular_value,var_ratio,cum_var_ratio
1,20.39895,0.0153905265,0.0153905265
2,15.857663,0.0093007125,0.024691239
3,15.415601,0.00878939,0.03348063
4,15.283641,0.008639557,0.04212019
5,14.825611,0.008129485,0.050249673
6,14.694974,0.007986849,0.058236524
7,14.6161995,0.007901449,0.06613797
8,14.538871,0.007818064,0.073956035
9,14.490505,0.007766134,0.08172217
10,14.436171,0.0077080023,0.089430176
11,14.34831,0.007614464,0.09704464
12,14.305684,0.0075692893,0.10461393
13,14.286125,0.0075486056,0.11216254
14,14.179235,0.0074360697,0.119598605
15,14.106785,0.0073602726,0.12695888
16,14.025572,0.00727577,0.13423465
17,14.005722,0.0072551905,0.14148985
18,14.001558,0.007250878,0.14874072
19,13.925023,0.0071718246,0.15591255
20,13.897701,0.0071437093,0.16305625
21,13.791155,0.007034595,0.17009085
22,13.779721,0.007022936,0.17711379
23,13.729424,0.006971761,0.18408555
24,13.597267,0.006838189,0.19092374
25,13.559214,0.0067999675,0.1977237
26,13.520884,0.0067615765,0.20448528
27,13.460925,0.006701741,0.21118702
28,13.441373,0.0066822865,0.21786931
29,13.396268,0.006637514,0.22450683
30,13.293835,0.006536396,0.23104322
