fecha,t,m
2009-01-03,1,2
2009-01-03,3,1
2009-01-03,4,2
2009-01-03,5,2
2009-01-03,9,1
2009-01-03,11,1
2009-01-03,12,2
2009-01-03,13,1
2009-01-03,14,1
2009-01-03,18,1
2009-01-03,24,1
2009-01-03,27,1
2009-01-03,31,1
2009-01-03,54,2
2009-01-03,58,1
2009-01-03,59,2
2009-01-03,60,1
2009-01-03,61,2
2009-01-03,62,1
2009-01-03,63,1
2009-01-03,68,1
2009-01-03,71,1
2009-01-03,74,1
2009-01-03,75,2
2009-01-03,76,1
2009-01-03,78,2
2009-01-03,79,1
2009-01-03,82,2
2009-01-03,84,1
2009-01-03,86,1
2009-01-03,87,1
2009-01-03,89,1
2009-01-03,90,1
2009-01-03,93,1
2009-01-03,97,1
2009-01-03,98,1
2009-01-03,101,1
2009-01-03,106,2
2009-01-03,107,1
2009-01-03,108,1
2009-01-03,111,1
2009-01-03,114,1
2009-01-03,115,1
2009-01-03,116,1
2009-01-03,117,1
2009-01-03,118,2
2009-01-03,119,2
2009-01-03,120,1
2009-01-03,122,1
2009-01-03,123,1
2009-01-03,129,1
2009-01-03,133,1
2009-01-03,134,3
2009-01-03,136,1
2009-01-03,137,2
2009-01-03,140,1
2009-01-03,142,3
2009-01-10,1,1
2009-01-10,4,2
2009-01-10,6,1
2009-01-10,8,2
2009-01-10,14,2
2009-01-10,15,1
2009-01-10,16,1
2009-01-10,18,1
2009-01-10,21,1
2009-01-10,22,1
2009-01-10,36,1
2009-01-10,50,1
2009-01-10,54,2
2009-01-10,55,1
2009-01-10,57,1
2009-01-10,61,1
2009-01-10,62,1
2009-01-10,63,1
2009-01-10,67,1
2009-01-10,68,1
2009-01-10,72,1
2009-01-10,78,1
2009-01-10,80,1
2009-01-10,82,2
2009-01-10,83,1
2009-01-10,84,2
2009-01-10,87,1
2009-01-10,88,1
2009-01-10,90,1
2009-01-10,91,1
2009-01-10,92,1
2009-01-10,98,1
2009-01-10,99,1
2009-01-10,101,1
2009-01-10,104,1
2009-01-10,105,1
2009-01-10,106,2
2009-01-10,107,1
2009-01-10,108,1
2009-01-10,109,1
2009-01-10,110,1
2009-01-10,111,1
2009-01-10,114,1
2009-01-10,118,1
2009-01-10,120,2
2009-01-10,124,2
2009-01-10,126,1
2009-01-10,134,1
2009-01-10,137,2
2009-01-10,140,1
2009-01-10,141,2
2009-01-10,142,1
2009-01-10,143,1
2009-01-10,144,1
2009-01-17,4,1
2009-01-17,7,1
2009-01-17,9,2
2009-01-17,12,1
2009-01-17,15,1
2009-01-17,16,1
2009-01-17,22,2
2009-01-17,23,1
2009-01-17,26,1
2009-01-17,27,1
2009-01-17,35,1
2009-01-17,46,1
2009-01-17,52,1
2009-01-17,58,1
2009-01-17,60,1
2009-01-17,61,1
2009-01-17,62,1
2009-01-17,65,1
2009-01-17,70,2
2009-01-17,71,3
2009-01-17,72,2
2009-01-17,74,2
2009-01-17,75,2
2009-01-17,77,1
2009-01-17,78,1
2009-01-17,79,1
2009-01-17,80,3
2009-01-17,81,2
2009-01-17,82,1
2009-01-17,85,1
2009-01-17,86,1
2009-01-17,87,1
2009-01-17,88,1
2009-01-17,89,3
2009-01-17,94,1
2009-01-17,95,1
2009-01-17,96,1
2009-01-17,98,1
2009-01-17,101,1
2009-01-17,102,1
2009-01-17,104,1
2009-01-17,105,1
2009-01-17,107,1
2009-01-17,108,2
2009-01-17,110,1
2009-01-17,113,1
2009-01-17,116,2
2009-01-17,117,2
2009-01-17,118,1
2009-01-17,119,1
2009-01-17,121,2
2009-01-17,122,1
2009-01-17,123,1
2009-01-17,124,1
2009-01-17,125,1
2009-01-17,126,2
2009-01-17,127,1
2009-01-17,128,2
2009-01-17,129,1
2009-01-17,130,1
2009-01-17,131,1
2009-01-17,132,1
2009-01-17,134,2
2009-01-17,135,1
2009-01-17,136,1
2009-01-17,137,2
2009-01-17,138,1
2009-01-17,140,1
2009-01-17,141,2
2009-01-17,142,1
2009-01-17,144,2
2009-01-24,2,1
2009-01-24,3,2
2009-01-24,4,1
2009-01-24,6,1
2009-01-24,10,1
2009-01-24,11,1
2009-01-24,13,2
2009-01-24,14,1
2009-01-24,15,1
2009-01-24,16,1
2009-01-24,17,1
2009-01-24,19,1
2009-01-24,35,1
2009-01-24,49,1
2009-01-24,55,1
2009-01-24,56,1
2009-01-24,58,2
2009-01-24,59,3
2009-01-24,60,2
2009-01-24,61,1
2009-01-24,64,1
2009-01-24,65,2
2009-01-24,66,1
2009-01-24,70,2
2009-01-24,71,2
2009-01-24,75,1
2009-01-24,76,3
2009-01-24,82,1
2009-01-24,83,2
2009-01-24,84,2
2009-01-24,86,1
2009-01-24,89,1
2009-01-24,93,1
2009-01-24,95,1
2009-01-24,96,2
2009-01-24,97,3
2009-01-24,100,1
2009-01-24,103,1
2009-01-24,104,1
2009-01-24,105,1
2009-01-24,106,1
2009-01-24,107,1
2009-01-24,111,1
2009-01-24,112,1
2009-01-24,113,2
2009-01-24,114,1
2009-01-24,115,1
2009-01-24,117,1
2009-01-24,118,2
2009-01-24,120,2
2009-01-24,122,1
2009-01-24,123,1
2009-01-24,124,2
2009-01-24,126,1
2009-01-24,127,1
2009-01-24,128,2
2009-01-24,130,1
2009-01-24,133,1
2009-01-24,134,2
2009-01-24,136,1
2009-01-24,137,1
2009-01-24,138,3
2009-01-24,140,1
2009-01-24,141,1
2009-01-24,142,3
2009-01-24,143,2
2009-01-31,1,2
2009-01-31,3,2
2009-01-31,5,2
2009-01-31,7,2
2009-01-31,8,1
2009-01-31,9,1
2009-01-31,10,1
2009-01-31,11,1
2009-01-31,13,1
2009-01-31,15,1
2009-01-31,16,1
2009-01-31,18,1
2009-01-31,21,2
2009-01-31,22,1
2009-01-31,26,1
2009-01-31,28,1
2009-01-31,42,2
2009-01-31,46,1
2009-01-31,48,1
2009-01-31,53,1
2009-01-31,54,1
2009-01-31,55,1
2009-01-31,63,1
2009-01-31,69,2
2009-01-31,71,1
2009-01-31,73,1
2009-01-31,76,2
2009-01-31,77,1
2009-01-31,82,1
2009-01-31,83,2
2009-01-31,84,1
2009-01-31,85,1
2009-01-31,87,2
2009-01-31,89,2
2009-01-31,90,1
2009-01-31,96,3
2009-01-31,97,1
2009-01-31,98,1
2009-01-31,100,1
2009-01-31,102,2
2009-01-31,103,1
2009-01-31,104,1
2009-01-31,106,1
2009-01-31,107,1
2009-01-31,109,2
2009-01-31,110,1
2009-01-31,111,1
2009-01-31,114,3
2009-01-31,116,1
2009-01-31,117,2
2009-01-31,118,1
2009-01-31,119,1
2009-01-31,120,3
2009-01-31,122,3
2009-01-31,124,3
2009-01-31,125,1
2009-01-31,126,2
